label,ID,中成药名,汉语拼音,成份,功能主治,所属类别,有效期,批准文号,孕妇及哺乳期妇女用药,贮藏,委托方企业,不良反应,用法用量,禁忌,包装,儿童用药,药物过量,规格,执行标准,临床试验,药物相互作用,注意事项,生产地址,警示语,生产企业,老年患者用药
medicine,148,甘露消渴胶囊,GanLuXiaoKeJiaoNang,甘露消渴成方熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,暂定 18 个月。,国药准字 Z20063005,,密封。,,,口服，一次 4～5 粒，一日 3 次，或遵医嘱。,,铝塑包装，12 粒 × 3 板盒。,,,每粒装 0.3g,,,,,,,比智高药业有限公司【企业名称】比智高药业有限公司,
medicine,149,甘露消渴胶囊,GanLuXiaoKeJiaoNang,甘露消渴成方熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,暂定 18 个月,国药准字 Z20053944,,密封。,海外制药(镇赉)有限公司【企业名称】海外制药(镇赉)有限公司,,口服，一次 4～5 粒，一日 3 次，或遵医嘱。,,铝塑板包装，15 粒 × 2 板盒。,,,每粒装 0.3g,,,,,,,海外制药(镇赉)有限公司【企业名称】海外制药(镇赉)有限公司,
medicine,150,甘露消渴胶囊,GanLuXiaoKeJiaoNang,熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、黄连、当归、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,18 个月。,国药准字 Z20093059,,密封。,,,口服。一次 4～5 粒，一日 3 次；或遵医嘱。,,铝塑板包装。,,,每粒装 0.3 g。,,,,,,,淄博亚大制药股份有限公司【企业名称】淄博亚大制药股份有限公司【地址】淄博开发区泰美路8-1号【省份/国家】山东省,
medicine,151,甘露消渴胶囊,GanLuXiaoKeJiaoNang,熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,18 个月,国药准字 Z20064094,,密封。,湖北广仁药业有限公司【企业名称】湖北广仁药业有限公司【地址】湖北省广水市桐柏大道209号【邮编】432721【省份/国家】湖北省【电话】0722-6423433【传真】0722-6419425【热线】健康产品中心电话：400－699－6466【主页】www.hbgr.net,,口服。一次 4～5 粒，一日 3 次，或遵医嘱。,,本品采用聚氯乙烯固体药用硬片药品包装用铝箔包装，12 粒*3 板,,,每粒装 0.3 克。,,,,,,,湖北广仁药业有限公司【企业名称】湖北广仁药业有限公司【地址】湖北省广水市桐柏大道209号【邮编】432721【省份/国家】湖北省【电话】0722-6423433【传真】0722-6419425【热线】健康产品中心电话：400－699－6466【主页】www.hbgr.net,
medicine,152,甘露消渴胶囊,GanLuXiaoKeJiaoNang,熟地黄、地黄、地骨皮、人参、枸杞子、黄芪、菟丝子、山茱萸、党参、黄连等十九味。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,暂定一年半,,,密封。,,,口服，一次4～5粒，一日3次，或遵医嘱。,,药用铝塑包装。12粒×3板/盒。,,,每粒装0.3g,,,,,,,陕西省中医药研究院汉唐制药有限公司【企业名称】陕西省中医药研究院汉唐制药有限公司【地址】西安市高新区草堂科技产业基地草堂四路18号西安市经济技术开发区明光路39号【邮编】710300【省份/国家】陕西省【电话】400-029-9019【传真】029-89012286【主页】www.sxhantang.com,
medicine,153,甘露消渴胶囊,GanLuXiaoKeJiaoNang,熟地黄、地黄、枸杞子、地骨皮、山茱萸，玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健牌生津。用于非胰岛依赖型糖尿病。,中成药>>其他,36 个月。,国药准字 Z63020187,,密封。,,,口服。一次 4~5 粒，一日 3 次，或遵医嘱。,,药用 PVC 硬片、铝箔包装：0.3 g × 12 粒板 × 3 板小盒。,,,每粒装 0.3 g。,,,,,,,青海省格拉丹东药业有限公司【企业名称】青海省格拉丹东药业有限公司【地址】青海生物科技产业园经三路6号【邮编】810003【省份/国家】青海省【电话】0971-5319868【传真】0971-5317738【主页】www.qhgldd.com,
medicine,154,甘芍消渴片,GanShaoXiaoKePian,甘草、白芍。,益阴养血。用于成年人阴血虚证的轻型糖尿病。,中成药>>其他,2年。,国药准字Z20027432,,密封。,,,口服，一次3～4片，一日3次；饭后服用。,对本品过敏者禁用。,,,,每片重0.28g,,,,（1）孕妇及过敏体质者慎用；（2）有急性感染或酮症酸中毒者不宜单独使用本品；（3）注意定期复查血糖,,,上海和黄药业有限公司【企业名称】上海和黄药业有限公司【地址】上海市真南路2098号【邮编】200331【省份/国家】上海市【电话】（021）62506452转【传真】（021）62506204【热线】800-820-1790【主页】www.shpl.com.cn,
medicine,219,葛芪胶囊,GeQiJiaoNang,葛根、黄芪、夜关门、金荞麦、杜仲、淫羊藿、地黄、玄参、天花粉、人参。,益气养阴，生津止渴。用于气阴两虚所致消渴病，症见倦怠乏力，气短懒言，烦热多汗，口渴喜饮，小便清长，耳鸣腰酸，以及Ⅱ型糖尿病见以上症状者。,中成药>>其他,1.5年。,国药准字Z20025542,,密封。,,,口服，一次2～3粒，一日3次。,,,,,每粒装0.4g,,,,定期复查血糖。,,,葵花药业集团(贵州)宏奇有限公司【企业名称】葵花药业集团(贵州)宏奇有限公司【地址】贵阳市勇烈路4号天洋公寓6楼16号【省份/国家】贵州省,
medicine,220,枸杞消渴胶囊,GouQiXiaoKeJiaoNang,鲜枸杞子、鲜沙棘、地骨皮、山药、山楂、麦芽、黄芪。,益气养阴，生津止渴。用于气阴两虚所致消渴，Ⅱ型糖尿病见上述证候者。,中成药>>其他,1.5年。,国药准字Z20025981,,密封。,,,口服，一次3粒，一日3次。,,,,,每粒装0.3g,,,,定期复查血糖。,,,金诃藏药股份有限公司【企业名称】金诃藏药股份有限公司【地址】西宁市纬二路22号(青海生物科技产业园)【邮编】810003【省份/国家】青海省【电话】0971-5319800  5319801【传真】0971-5319839【电子邮件】qhzyc@public.xn.qh.cn【主页】www.aruratm.com,
medicine,222,冠心康胶囊,GuanXinKangJiaoNang,丹参、赤芍、降香、红花、川芎。,心血管疾病：冠心病、心绞痛、心肌梗死、心律失常、心肌缺血、高血压、高脂血症、高粘血综合征、肺源性心脏病； 脑血管疾病：脑动脉硬化、脑梗死、脑供血不足、脑血栓、脑萎缩、血管性痴呆、脑出血、脑卒中后遗症、老年性痴呆、帕金森病； 其 它：对糖尿病的各种并发症、失眠、便秘等疾病有显著的作用，达到异病同治的效果。,中成药>>其他,18个月。,国药准字Z20090435,,密封。,,,口服。一次3—5粒，一日3次。,,铝塑板，3×12粒/板/盒。,,,每粒装0.45克,国家食品药品监督管理局标准YBZ06522009,,,请遵医嘱。,,,西安大唐制药集团有限公司【企业名称】西安大唐制药集团有限公司【地址】西安高新技术产业开发区高新三路16号【邮编】710075【省份/国家】陕西省【电话】029—88314500【传真】029—88314500【主页】http://www.xadtzy.com,
medicine,223,活力源口服液,HuoLiYuanKouFuYe,活力源成方人参茎叶总皂苷、黄芪、五味子、麦冬、附片。,益气养阴，强心益肾。适用于气阴两虚，心肾两亏引起的健忘失眠，记忆力减退。冠心病，慢性肝炎，糖尿病及更年期综合症而见上述证候者。,中成药>>其他,24 个月,国药准字 Z22022107,,密封，置阴凉处（不超过 20 ℃ ）。,,,口服，一次 20 ml，一日 2～3 次。,,钠钙玻璃管制口服液体瓶、口服液铝盖包装，每盒 6 支。,,,每支装 10 毫升,,,,,,,吉林省通化振国药业有限公司【企业名称】吉林省通化振国药业有限公司【地址】吉林省通化县湾湾川植物园【邮编】134110【省份/国家】吉林省【电话】0435-5337668【传真】0435-5337669【电子邮件】th@wzg.cn【主页】www.wzg.cn,
medicine,224,活力源片,HuoLiYuanPian,活力源成方人参茎叶总皂苷、黄芪、麦冬、五味子、附片。,益气养阴，强心益肾。适用于气阴两虚心肾两亏的，健忘失眠，记忆力减退。冠心病，慢性肝炎，糖尿病及更年期综合症而见上述证候者。,中成药>>其他,36 个月。,国药准字 Z22024320,,密封，防潮。,,,口服。一次 1 片，一日 2～3 次。,,"药用铝箔与 PVC, 10 片 x3 板盒。",,,基片重 0.25g,,,,,,,吉林省抚松制药股份有限公司【企业名称】吉林省抚松制药股份有限公司【地址】吉林省抚松县抚松镇松山街375号【邮编】100011【省份/国家】吉林省【传真】010-64255341,
medicine,225,活力源片,HuoLiYuanPian,人参茎叶总皂苷、黄芪、麦冬、五味子、附片。,益气养阴，强心益肾。适用于“气阴两虚，心肾两亏”引起的健忘失眠，记忆力减退。冠心病，慢性肝炎，糖尿病及更年期综合症而见上述证候者。,中成药>>其他,,国药准字Z20053665,,,,,口服，一次1片，一日2-3次。,,,,,基片重0.25g,,,,,,,吉林高邈药业股份有限公司【企业名称】吉林高邈药业股份有限公司,
medicine,250,降糖甲胶囊,JiangTangJiaJiaoNang,黄芪、黄精（酒炙）、地黄、太子参、天花粉。,补中益气，养阴生津。用于气阴两虚型消渴症（非胰岛素依赖型糖尿病）。,中成药>>其他,,,,,,,,,,,,每粒装0.45g,,,,请遵医嘱。,,请仔细阅读药品说明书并按说明使用或在医师指导下购买和使用。,贵州圣泉药业有限公司【企业名称】贵州圣泉药业有限公司【地址】贵州省贵阳市三桥中坝路64号【省份/国家】贵州省,
medicine,251,降糖甲胶囊,JiangTangJiaJiaoNang,黄芪、黄精（酒炙）、地黄、太子参、天花粉、。,补中益气，养阴生津。用于气阴两虚型消渴症（非胰岛素依赖型糖尿病）。,中成药>>其他,,国药准字Z20080560,,,贵州济生制药有限公司【企业名称】贵州济生制药有限公司,,,,,,,每粒装0.45g,,,,请遵医嘱。,,请仔细阅读药品说明书并按说明使用或在医师指导下购买和使用。,贵州济生制药有限公司【企业名称】贵州济生制药有限公司,
medicine,252,降糖甲颗粒,JiangTangJiaKeLi,黄芪、黄精（酒制）、地黄、太子参、天花粉等。,益气、养阴、生津。用于气阴两虚型消渴病（非胰岛素依赖型糖尿病）。症见：口渴多饮、五心烦热、无力多汗、心慌气短等。,中成药>>其他,24个月,国药准字Z20010057,,密封，置干燥处。,贵州家诚药业有限责任公司【企业名称】贵州家诚药业有限责任公司【地址】贵州省遵义市红花岗区玉屏路1号【省份/国家】贵州省,,口服。每日3次，每次4g，三个月为一疗程或遵医嘱。,,复合袋包装。,,,每袋装4g,,,如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。,,,请仔细阅读药品说明书并按说明使用或在医师指导下购买和使用,贵州家诚药业有限责任公司【企业名称】贵州家诚药业有限责任公司【地址】贵州省遵义市红花岗区玉屏路1号【省份/国家】贵州省,
medicine,253,降糖甲片,JiangTangJiaPian,黄芪、黄精（酒炙）、地黄、太子参、天花粉。,补中益气，养阴生津。用于气阴两虚型消渴症（非胰岛素依赖型糖尿病）。,中成药>>其他,36个月,国药准字Z11020266,,密封。,,,口服。一次6片，一日3次。,,塑料瓶，60片／瓶。,,,片芯重0.3g,卫生部药品标准中药成方制剂第八册WS3-B-1570-93,,,,,,北京中医药大学药厂【企业名称】北京中医药大学药厂【地址】北京市顺义区林河工业开发区林河大街24号【邮编】101300【省份/国家】北京市【电话】（010）64286881  64286894  8008100728【传真】（010）64213479【主页】www.bzyy.com,
medicine,254,降糖宁胶囊,JiangTangNingJiaoNang,人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,36 个月,国药准字 Z22021512,,密封，置阴凉干燥处。（不超过 20 ℃ ）,,,口服，一次 4?6 粒，一曰 3 次。,,铝塑包装；10 粒板*6 板盒。,,,每粒装 0.4g,,,,,,,吉林万通药业集团梅河药业股份有限公司【企业名称】吉林万通药业集团梅河药业股份有限公司【地址】吉林省梅河口市万通路666号【邮编】135027【省份/国家】吉林省【电话】0435-4893001【传真】0435-4891299,
medicine,255,降糖宁胶囊,JiangTangNingJiaoNang,降糖宁成方人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,18 个月,国药准字 Z20080365,,密封，置阴凉干燥处。（不超过 20 ℃ ）,,,口服。一次 4～6 粒，一日 3 次。,,铝塑板。12 粒板 × 3 板盒。,,,每粒装 0.4g,,,,,,,吉林吉尔吉药业有限公司【企业名称】吉林吉尔吉药业有限公司【地址】吉林市高新区深圳街84号【省份/国家】吉林省,
medicine,256,降糖宁胶囊,JiangTangNingJiaoNang,降糖宁成方人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,36 个月,国药准字 Z22020044,,密封，置阴凉干燥处（不超过 20 ℃ ）。,,,口服，一次 4～6 粒，一日 3 次。,,铝塑包装，12 片板 × 4 板盒。,,,每粒装 0.4g,,,,,,,吉林龙鑫药业有限公司【企业名称】吉林龙鑫药业有限公司【地址】和龙市人民大街1号【省份/国家】吉林省,
medicine,257,降糖宁胶囊,JiangTangNingJiaoNang,人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,36 个月。,国药准字 Z14020629,,密封，置阴凉干燥处（不超过 20 ℃ ）。,,,口服。一次 4～6 粒，一日 3 次。,,铝塑，每盒 10 粒 × 3 板。,,,每粒装 0.4 g。,,,,,,,山西德元堂药业有限公司【企业名称】山西德元堂药业有限公司【地址】山西省晋中经济技术开发区山西医药工业园A区【邮编】030060【省份/国家】山西省【电话】0354-3072288【传真】0354-3073388【电子邮件】dyt800@163.com【主页】Http://www.deyuantang.com,
medicine,258,降糖宁胶囊,JiangTangNingJiaoNang,人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气、养阴、生津。用于糖尿病属气阴两虚者。,中成药>>其他,24 个月。,国药准字 Z44020365,,密封。,,,口服。一次 4～6 粒，一日 3 次。,,铝塑包装；每盒装 3 板，每板 12 粒。,,,每粒装 0.4 g。,,,,,,,惠州市九惠制药股份有限公司【企业名称】惠州市九惠制药股份有限公司,
medicine,259,降糖宁胶囊,JiangTangNingJiaoNang,人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、地黄、地骨皮、玉米须、山茱萸、甘草,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,18个月。,国药准字Z20033288,,密封，置阴凉（不超过20℃）干燥处。,,,口服，一次4-6粒，一日3次。,,药用PVC硬片，药品包装用PTP铝箔。12粒*3板/盒。,,,每粒装0.4g。,国家食品药品监督管理局标准（试行）YBZ04442003,,,,,,河南辅仁堂制药有限公司【企业名称】河南辅仁堂制药有限公司【地址】河南省鹿邑县玄武经济开发区【邮编】477293【省份/国家】河南省【电话】0394-7585084【传真】0394-7589199【电子邮件】kefubu@furen.com.cn【主页】www.furen.com.cn,
medicine,260,降糖宁胶囊,JiangTangNingJiaoNang,降糖宁成方人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,36 个月,国药准字 Z22021968,,密封，置阴凉（不超过 20 ℃ ）干燥处。,海外制药(镇赉)有限公司【企业名称】海外制药(镇赉)有限公司,,口服。一次 4～6 粒，一日 3 次。,,铝塑板包装，12 粒 × 2 板盒。,,,每粒装 0.4g,,,,,,,海外制药(镇赉)有限公司【企业名称】海外制药(镇赉)有限公司,
medicine,261,降糖宁胶囊,JiangTangNingJiaoNang,降糖宁成方人参、山药、生石膏、知母、黄芪、天花粉、茯苓、麦冬、生地黄、地骨皮、玉米须、山茱萸、甘草。,益气，养阴，生津。用于糖尿病属气阴两虚者。,中成药>>其他,36 个月。,国药准字 Z22021233,,密封，置阴凉干燥处(不超过 20 ℃ )。,,,口服。一次 4～6 粒，一日 3 次。,,铝塑包装。12 粒板 × 3 板盒。,,,每粒装 0.4g,,,,,,,通化颐生药业股份有限公司【企业名称】通化颐生药业股份有限公司【地址】吉林省通化县快大茂镇团结路8855号【邮编】134100【省份/国家】吉林省【电话】0435-5331088【传真】0435-5335088【主页】www.yishengyy.com,
